trade_id,code,name,signal_date,entry_date,entry_price,signal_score,signal_rank,stop_price,target10,target20,target30,status,days_observed,max_high,min_low,max_gain_pct,max_drawdown_pct,hit_10,hit_20,hit_30,hit_stop,exit_date,exit_price,exit_reason,last_update
7369_20260907,7369,"Meiho Holdings,Inc.",2026-09-07,2026-09-07,399.0,73,B,345.93,438.9,478.8,518.7,OPEN,4,476.0,370.0,19.3,-7.27,True,False,False,False,,,,2026-09-11
6694_20260907,6694,Zoom Corporation,2026-09-07,2026-09-07,768.0,72,B,635.14,844.8,921.6,998.4,OPEN,4,863.0,768.0,12.37,0.0,True,False,False,False,,,,2026-09-11
2479_20260908,2479,JTEC Corporation,2026-09-08,2026-09-08,267.0,84,A,234.96,293.7,320.4,347.1,OPEN,3,267.0,253.0,0.0,-5.24,False,False,False,False,,,,2026-09-11
9219_20260908,9219,GiXo Ltd.,2026-09-08,2026-09-08,906.0,83,A,865.23,996.6,1087.2,1177.8,OPEN,3,907.0,880.0,0.11,-2.87,False,False,False,False,,,,2026-09-11
4387_20260908,4387,"ZUU Co.,Ltd.",2026-09-08,2026-09-08,549.0,79,A,468.85,603.9,658.8,713.7,OPEN,3,549.0,501.0,0.0,-8.74,False,False,False,False,,,,2026-09-11
4990_20260908,4990,"Showa Chemical Industry Co., Ltd.",2026-09-08,2026-09-08,558.0,78,A,483.79,613.8,669.6,725.4,OPEN,3,564.0,524.0,1.08,-6.09,False,False,False,False,,,,2026-09-11
2735_20260908,2735,"Watts Co., Ltd.",2026-09-08,2026-09-08,748.0,76,B,653.75,822.8,897.6,972.4,OPEN,3,748.0,720.0,0.0,-3.74,False,False,False,False,,,,2026-09-11
6897_20260908,6897,Twinbird Corporation,2026-09-08,2026-09-08,689.0,74,B,573.94,757.9,826.8,895.7,OPEN,3,720.0,642.0,4.5,-6.82,False,False,False,False,,,,2026-09-11
4932_20260908,4932,"Almado, Inc.",2026-09-08,2026-09-08,821.0,72,B,698.67,903.1,985.2,1067.3,OPEN,3,840.0,792.0,2.31,-3.53,False,False,False,False,,,,2026-09-11
4891_20260908,4891,"TMS Co., Ltd.",2026-09-08,2026-09-08,111.0,68,B,92.02,122.1,133.2,144.3,OPEN,3,123.0,109.0,10.81,-1.8,True,False,False,False,,,,2026-09-11
4421_20260909,4421,"D. I. System Co., Ltd.",2026-09-09,2026-09-09,954.0,86,S,900.58,1049.4,1144.8,1240.2,OPEN,2,955.0,946.0,0.1,-0.84,False,False,False,False,,,,2026-09-11
5287_20260909,5287,"Ito Yogyo Co., Ltd",2026-09-09,2026-09-09,1011.0,66,C,794.65,1112.1,1213.2,1314.3,OPEN,2,1159.0,913.0,14.64,-9.69,True,False,False,False,,,,2026-09-11
4492_20260910,4492,Genetec Corporation,2026-09-10,2026-09-10,402.0,81,A,358.99,442.2,482.4,522.6,OPEN,1,404.0,396.0,0.5,-1.49,False,False,False,False,,,,2026-09-11
265A_20260910,265A,Hmcomm Inc.,2026-09-10,2026-09-10,808.0,74,B,626.2,888.8,969.6,1050.4,OPEN,1,834.0,742.0,3.22,-8.17,False,False,False,False,,,,2026-09-11
4174_20260910,4174,Appirits Inc.,2026-09-10,2026-09-10,1018.0,73,B,700.38,1119.8,1221.6,1323.4,OPEN,1,1076.0,974.0,5.7,-4.32,False,False,False,False,,,,2026-09-11
4883_20260910,4883,Modalis Therapeutics Corporation,2026-09-10,2026-09-10,43.0,67,C,28.98,47.3,51.6,55.9,OPEN,1,50.0,36.0,16.28,-16.28,True,False,False,False,,,,2026-09-11
7042_20260911,7042,"Access Group Holdings Co., Ltd.",2026-09-11,2026-09-11,705.0,86,S,645.08,775.5,846.0,916.5,OPEN,0,705.0,705.0,0.0,0.0,False,False,False,False,,,,2026-09-11
7980_20260911,7980,"Shigematsu Works Co., Ltd.",2026-09-11,2026-09-11,861.0,83,A,815.37,947.1,1033.2,1119.3,OPEN,0,861.0,861.0,0.0,0.0,False,False,False,False,,,,2026-09-11
3187_20260911,3187,miratap inc.,2026-09-11,2026-09-11,413.0,75,B,291.99,454.3,495.6,536.9,OPEN,0,413.0,413.0,0.0,0.0,False,False,False,False,,,,2026-09-11
