銘柄コード,銘柄名,株価,判定,出来高比率,出来高枯れ,出来高再増加,小実体,じわ切り上げ,日足代表価格上,MA5上,MA25上,MA75上,MA200上,全MA上,直近高値からの下落(%),損切り目安下幅(%),急騰期待スコア,優先ランク,スコア根拠,監視優先度
4287,不明,,👀 監視継続,0.61,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4387,"ZUU Co.,Ltd.",,👀 監視継続,0.62,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4388,"AI,Inc.",,👀 監視継続,0.93,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4406,"New Japan Chemical Co., Ltd.",,👀 監視継続,1.25,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4421,"D. I. System Co., Ltd.",,👀 監視継続,0.69,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4430,"Tokai Soft Co., Ltd.",,👀 監視継続,0.37,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4442,"Valtes Holdings Co.,Ltd.",,👀 監視継続,0.4,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4447,"PBsystems,Inc.",,👀 監視継続,0.54,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4491,"Computer Management Co., Ltd.",,👀 監視継続,0.39,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4492,Genetec Corporation,,👀 監視継続,0.28,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4496,Commerce One Holdings Inc.,,👀 監視継続,0.9,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
4539,"Nippon Chemiphar Co., Ltd.",,👀 監視継続,0.67,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
7531,Seiwa Chuo Holdings Corporation,,👀 監視継続,0.28,✗,✗,✗,✗,✗,✗,✗,✗,✗,✗,,,4,D,stage=4; position=0; volume=0; shape=0; risk=0,低優先
